voter_id,name,father_name,gender,dob,address,state,district,constituency
KLN0012345,Aarav Nair,Ramesh Nair,Male,1990-03-12,12 MG Road,Kerala,Kottayam,Kottayam
KLN0012346,Diya Thomas,Thomas Mathew,Female,1992-07-25,45 Church Street,Kerala,Kottayam,Kottayam
KLN0012347,Aditya Menon,Kannan Menon,Male,1988-11-03,78 Hill View,Kerala,Kottayam,Kottayam
KLN0012348,Ananya George,George Philip,Female,1995-01-18,32 Lake Road,Kerala,Kottayam,Kottayam
KLN0012349,Rohan Varma,Varma Nair,Male,1991-06-30,11 MG Road,Kerala,Kottayam,Kottayam
KLN0012350,Saanvi Rajesh,Rajesh Kumar,Female,1993-09-14,56 Church Street,Kerala,Kottayam,Kottayam
KLN0012351,Krishna Pillai,Pillai Ramesh,Male,1989-04-21,23 Hill View,Kerala,Kottayam,Kottayam
KLN0012352,Ishita Joseph,Joseph Thomas,Female,1994-12-05,67 Lake Road,Kerala,Kottayam,Kottayam
KLN0012353,Ayaan Kurian,Kurian Varghese,Male,1990-08-09,89 MG Road,Kerala,Kottayam,Kottayam
KLN0012354,Meera Mathew,Mathew George,Female,1992-10-28,34 Church Street,Kerala,Kottayam,Kottayam
KLN0012355,Nikhil Menon,K P Menon,Male,1987-05-17,21 Hill View,Kerala,Kottayam,Kottayam
KLN0012356,Anjali Thomas,Thomas Kurian,Female,1991-02-11,76 Lake Road,Kerala,Kottayam,Kottayam
KLN0012357,Vihaan Nair,Ramesh Nair,Male,1993-03-22,12 MG Road,Kerala,Kottayam,Kottayam
KLN0012358,Sara Varma,Varma Ramesh,Female,1990-07-13,45 Church Street,Kerala,Kottayam,Kottayam
KLN0012359,Arjun Pillai,Pillai Gopal,Male,1989-09-30,78 Hill View,Kerala,Kottayam,Kottayam
KLN0012360,Aanya George,George Mathew,Female,1995-11-19,32 Lake Road,Kerala,Kottayam,Kottayam
KLN0012361,Ridhaan Rajesh,Rajesh Varma,Male,1992-04-25,11 MG Road,Kerala,Kottayam,Kottayam
KLN0012362,Diya Joseph,Joseph Kurian,Female,1994-06-06,56 Church Street,Kerala,Kottayam,Kottayam
KLN0012363,Krishna Kurian,Kurian Nair,Male,1991-12-09,23 Hill View,Kerala,Kottayam,Kottayam
KLN0012364,Ishita Thomas,Thomas Varghese,Female,1990-08-15,67 Lake Road,Kerala,Kottayam,Kottayam
KLN0012365,Aditya Nair,Ramesh Nair,Male,1988-03-02,89 MG Road,Kerala,Kottayam,Kottayam
KLN0012366,Ananya Mathew,Mathew George,Female,1992-09-07,34 Church Street,Kerala,Kottayam,Kottayam
KLN0012367,Rohan Menon,K P Menon,Male,1990-05-22,21 Hill View,Kerala,Kottayam,Kottayam
KLN0012368,Saanvi Thomas,Thomas Kurian,Female,1993-11-16,76 Lake Road,Kerala,Kottayam,Kottayam
KLN0012369,Krishna Varma,Varma Ramesh,Male,1989-07-29,12 MG Road,Kerala,Kottayam,Kottayam
KLN0012370,Meera Pillai,Pillai Gopal,Female,1991-01-08,45 Church Street,Kerala,Kottayam,Kottayam
KLN0012371,Nikhil George,George Mathew,Male,1987-12-25,78 Hill View,Kerala,Kottayam,Kottayam
KLN0012372,Anjali Rajesh,Rajesh Varma,Female,1990-02-19,32 Lake Road,Kerala,Kottayam,Kottayam
KLN0012373,Ayaan Joseph,Joseph Kurian,Male,1993-06-11,11 MG Road,Kerala,Kottayam,Kottayam
KLN0012374,Sara Kurian,Kurian Nair,Female,1995-10-23,56 Church Street,Kerala,Kottayam,Kottayam
KLN0012375,Arjun Thomas,Thomas Varghese,Male,1989-03-27,23 Hill View,Kerala,Kottayam,Kottayam
KLN0012376,Aanya Nair,Ramesh Nair,Female,1992-07-05,67 Lake Road,Kerala,Kottayam,Kottayam
KLN0012377,Ridhaan Mathew,Mathew George,Male,1990-08-16,89 MG Road,Kerala,Kottayam,Kottayam
KLN0012378,Diya Menon,K P Menon,Female,1994-01-12,34 Church Street,Kerala,Kottayam,Kottayam
KLN0012379,Krishna Thomas,Thomas Kurian,Male,1991-09-03,21 Hill View,Kerala,Kottayam,Kottayam
KLN0012380,Ishita Varma,Varma Ramesh,Female,1993-12-15,76 Lake Road,Kerala,Kottayam,Kottayam
KLN0012381,Aditya Pillai,Pillai Gopal,Male,1988-04-20,12 MG Road,Kerala,Kottayam,Kottayam
KLN0012382,Ananya Joseph,Joseph Kurian,Female,1995-06-30,45 Church Street,Kerala,Kottayam,Kottayam
KLN0012383,Rohan Kurian,Kurian Nair,Male,1990-11-11,78 Hill View,Kerala,Kottayam,Kottayam
KLN0012384,Saanvi Thomas,Thomas Varghese,Female,1992-02-05,32 Lake Road,Kerala,Kottayam,Kottayam
KLN0012385,Krishna Nair,Ramesh Nair,Male,1989-05-28,11 MG Road,Kerala,Kottayam,Kottayam
KLN0012386,Meera Mathew,Mathew George,Female,1991-10-19,56 Church Street,Kerala,Kottayam,Kottayam
KLN0012387,Nikhil Menon,K P Menon,Male,1987-08-07,23 Hill View,Kerala,Kottayam,Kottayam
KLN0012388,Anjali Thomas,Thomas Kurian,Female,1990-01-25,67 Lake Road,Kerala,Kottayam,Kottayam
KLN0012389,Ayaan Varma,Varma Ramesh,Male,1993-03-14,89 MG Road,Kerala,Kottayam,Kottayam
KLN0012390,Sara Pillai,Pillai Gopal,Female,1995-09-21,34 Church Street,Kerala,Kottayam,Kottayam
KLN0012391,Arjun Joseph,Joseph Kurian,Male,1989-12-02,21 Hill View,Kerala,Kottayam,Kottayam
KLN0012392,Aanya Kurian,Kurian Nair,Female,1992-06-13,76 Lake Road,Kerala,Kottayam,Kottayam
KLN0012393,Ridhaan Thomas,Thomas Varghese,Male,1990-04-17,12 MG Road,Kerala,Kottayam,Kottayam
KLN0012394,Diya Nair,Ramesh Nair,Female,1994-11-29,45 Church Street,Kerala,Kottayam,Kottayam
